,student_country,onboard_flag,totaldays_engaged,tendaysafter,conversion
0,IN,1,1,0,0
1,CO,0,0,0,0
2,CA,1,29,234,1
3,IN,0,0,0,0
4,US,0,0,0,0
5,US,1,19,396,1
6,BD,1,1,14,0
7,BD,0,0,0,0
8,NG,0,0,0,0
9,US,1,1,2,0
10,SA,0,0,0,0
11,ID,1,3,53,0
12,IN,1,1,3,0
13,DZ,1,4,38,0
14,IN,1,1,2,0
15,ET,1,1,2,0
16,IN,1,2,5,0
17,EG,1,1,29,0
18,KE,1,1,1,0
19,IN,1,1,0,0
20,IN,1,77,219,1
21,ES,1,1,7,0
22,IN,0,0,0,0
23,IN,1,15,118,1
24,BD,0,0,0,0
25,US,1,1,1,0
26,IN,0,0,0,0
27,CN,1,1,0,0
28,IN,1,1,0,0
29,IN,1,1,0,0
30,BR,1,1,12,0
31,BY,1,1,1,0
32,SG,1,1,0,0
33,IN,1,12,71,1
34,IN,1,1,1,0
35,GB,1,1,22,0
36,CM,0,0,0,0
37,PK,0,0,0,0
38,ID,1,3,35,0
39,PK,0,0,0,0
40,EG,0,0,0,0
41,SA,1,2,42,0
42,JP,1,2,1,0
43,PK,0,0,0,0
44,US,0,0,0,0
45,EG,0,0,0,0
46,ID,1,23,97,0
47,US,1,1,7,0
48,IN,0,0,0,0
49,RU,1,1,0,0
50,IN,1,1,12,0
51,CA,0,0,0,0
52,HT,1,1,7,0
53,SA,1,1,0,0
54,US,0,0,0,0
55,NG,0,0,0,0
56,GB,1,1,0,0
57,AZ,1,1,1,0
58,MA,0,0,0,0
59,SA,0,0,0,0
60,PL,1,1,12,0
61,IN,1,2,22,0
62,NL,1,21,160,1
63,DE,0,0,0,0
64,CA,1,14,219,1
65,IN,0,0,0,0
66,TN,0,0,0,0
67,DZ,0,0,0,0
68,VN,1,1,1,0
69,GB,1,3,4,0
70,CA,1,1,2,0
71,CO,1,1,64,0
72,EG,0,0,0,0
73,PT,0,0,0,0
74,SA,0,0,0,0
75,FR,1,5,55,0
76,EG,0,0,0,0
77,CA,1,2,134,1
78,LY,1,1,0,0
79,RU,1,3,73,0
80,EG,1,1,2,0
81,US,1,1,0,0
82,US,1,3,26,1
83,EG,1,1,0,0
84,MD,1,2,62,0
85,SA,0,0,0,0
